,Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer
3743,Yannick Carrasco,Left Winger,21,Monaco,Ligue_1,Atletico Madrid,La_liga,2015,9.0,24.76
3744,Giannelli Imbula,Defensive Midfield,23,FC Porto,Liga NOS,Stoke,EPL,2015,16.0,24.25
3745,Aymen Abdennour,Centre-Back,26,Monaco,Ligue_1,Valencia,La_liga,2015,10.0,22.0
3747,Mario Mandzukic,Left Winger,29,Atletico Madrid,La_liga,Juventus,Serie_A,2015,20.0,21.0
3748,Luciano Vietto,Centre-Forward,21,Villarreal,La_liga,Atletico Madrid,La_liga,2015,20.0,20.0
3749,AndrÃ© Gomes,Central Midfield,21,Benfica,Liga NOS,Valencia,La_liga,2015,20.0,20.0
3750,Andrea Bertolacci,Central Midfield,24,Roma,Serie_A,AC Milan,Serie_A,2015,15.0,20.0
3751,Georginio Wijnaldum,Central Midfield,24,PSV Eindhoven,Eredivisie,Newcastle United,EPL,2015,15.0,20.0
3753,Abdul Rahman Baba,Left-Back,21,Augsburg,Bundesliga,Chelsea,EPL,2015,10.0,20.0
3754,Ivan Perisic,Left Winger,26,Wolfsburg,Bundesliga,Inter,Serie_A,2015,13.0,19.0
3755,Aleksandar Mitrovic,Centre-Forward,20,RSC Anderlecht,Jupiler Pro League,Newcastle United,EPL,2015,11.0,18.5
3757,Florian Thauvin,Right Winger,22,Marseille,Ligue_1,Newcastle United,EPL,2015,12.0,18.35
3759,Matteo Darmian,Right-Back,25,Torino,Serie_A,Manchester United,EPL,2015,12.0,18.0
3760,Simone Zaza,Centre-Forward,24,Sassuolo,Serie_A,Juventus,Serie_A,2015,11.0,18.0
3761,Sergej Milinkovic-Savic,Central Midfield,20,KRC Genk,Jupiler Pro League,Lazio,Serie_A,2015,4.0,18.0
3762,Oumar Niasse,Centre-Forward,25,Loko Moscow,Premier Liga,Everton,EPL,2015,10.0,17.9
3763,Nathaniel Clyne,Right-Back,24,Southampton,EPL,Liverpool,EPL,2015,17.0,17.7
3764,Xherdan Shaqiri,Right Winger,23,Inter,Serie_A,Stoke,EPL,2015,17.0,17.0
3765,JosÃ© SalomÃ³n RondÃ³n,Centre-Forward,25,Zenit S-Pb,Premier Liga,West Bromwich Albion,EPL,2015,15.0,17.0
3766,Aleix Vidal,Right Winger,25,Sevilla,La_liga,Barcelona,La_liga,2015,10.0,17.0
3767,Filipe LuÃ­s,Left-Back,29,Chelsea,EPL,Atletico Madrid,La_liga,2015,15.0,16.0
3768,Toby Alderweireld,Centre-Back,26,Atletico Madrid,La_liga,Tottenham,EPL,2015,15.0,16.0
3770,Jonjo Shelvey,Central Midfield,23,Swansea,EPL,Newcastle United,EPL,2015,12.0,16.0
3771,Roberto Soldado,Centre-Forward,30,Tottenham,EPL,Villarreal,La_liga,2015,10.0,16.0
3772,Andros Townsend,Right Winger,24,Tottenham,EPL,Newcastle United,EPL,2015,8.0,15.7
3773,Virgil van Dijk,Centre-Back,24,Celtic,Premiership,Southampton,EPL,2015,5.0,15.7
3774,Roberto Pereyra,Attacking Midfield,24,Udinese,Serie_A,Juventus,Serie_A,2015,17.0,15.0
3775,Xherdan Shaqiri,Right Winger,23,Bayern Munich,Bundesliga,Inter,Serie_A,2015,17.0,15.0
